Variation #,Input,Indices
0,"Tensor<[1, 1, 720, 1280]> input = ?","List[Optional[Tensor]] indices = [None, None, <[23, 1]>, <[40]>]"
1,"Tensor<[1, 64, 15, 20]> input = ?","List[Optional[Tensor]] indices = [None, None, <[30, 1]>, <[40]>]"
2,"Tensor<[1, 64, 30, 40]> input = ?","List[Optional[Tensor]] indices = [None, None, <[60, 1]>, <[80]>]"
3,"Tensor<[1, 64, 60, 80]> input = ?","List[Optional[Tensor]] indices = [None, None, <[120, 1]>, <[160]>]"
4,"Tensor<[1, 64, 120, 160]> input = ?","List[Optional[Tensor]] indices = [None, None, <[240, 1]>, <[320]>]"
5,"Tensor<[1, 64, 240, 320]> input = ?","List[Optional[Tensor]] indices = [None, None, <[480, 1]>, <[640]>]"
6,"Tensor<[1, 3, 320, 320]> input = ?","List[Optional[Tensor]] indices = [None, None, <[320, 1]>, <[320]>]"
7,"Tensor<[1, 256, 128, 128]> input = ?","List[Optional[Tensor]] indices = [None, None, <[128, 1]>, <[128]>]"
8,"Tensor<[1, 256, 64, 64]> input = ?","List[Optional[Tensor]] indices = [None, None, <[128, 1]>, <[128]>]"
9,"Tensor<[1, 256, 32, 32]> input = ?","List[Optional[Tensor]] indices = [None, None, <[128, 1]>, <[128]>]"
10,"Tensor<[1, 256, 16, 16]> input = ?","List[Optional[Tensor]] indices = [None, None, <[128, 1]>, <[128]>]"
11,"Tensor<[1, 1280, 8, 8]> input = ?","List[Optional[Tensor]] indices = [None, None, <[16, 1]>, <[16]>]"
12,"Tensor<[1, 1280, 16, 16]> input = ?","List[Optional[Tensor]] indices = [None, None, <[32, 1]>, <[32]>]"
13,"Tensor<[1, 640, 32, 32]> input = ?","List[Optional[Tensor]] indices = [None, None, <[64, 1]>, <[64]>]"
14,"Tensor<[1, 1, 384, 512]> input = ?","List[Optional[Tensor]] indices = [None, None, <[12, 1]>, <[16]>]"
15,"Tensor<[1, 192, 50, 83]> input = ?","List[Optional[Tensor]] indices = [<[1, 1, 1, 1]>, <[1, 192, 1, 1]>, <[1, 1, 32, 1]>, <[1, 1, 1, 42]>]"
16,"Tensor<[1, 256, 16, 16]> input = ?","List[Optional[Tensor]] indices = [None, None, <[32, 1]>, <[32]>]"
17,"Tensor<[1, 128, 32, 32]> input = ?","List[Optional[Tensor]] indices = [None, None, <[64, 1]>, <[64]>]"
18,"Tensor<[1, 72, 28, 28]> input = ?","List[Optional[Tensor]] indices = [None, None, <[56, 1]>, <[56]>]"
19,"Tensor<[1, 120, 14, 14]> input = ?","List[Optional[Tensor]] indices = [None, None, <[28, 1]>, <[28]>]"
20,"Tensor<[1, 240, 14, 14]> input = ?","List[Optional[Tensor]] indices = [None, None, <[28, 1]>, <[28]>]"
21,"Tensor<[1, 200, 7, 7]> input = ?","List[Optional[Tensor]] indices = [None, None, <[14, 1]>, <[14]>]"
22,"Tensor<[1, 184, 7, 7]> input = ?","List[Optional[Tensor]] indices = [None, None, <[14, 1]>, <[14]>]"
23,"Tensor<[1, 480, 7, 7]> input = ?","List[Optional[Tensor]] indices = [None, None, <[14, 1]>, <[14]>]"
24,"Tensor<[1, 672, 7, 7]> input = ?","List[Optional[Tensor]] indices = [None, None, <[14, 1]>, <[14]>]"
25,"Tensor<[1, 960, 3, 3]> input = ?","List[Optional[Tensor]] indices = [None, None, <[7, 1]>, <[7]>]"
26,"Tensor<[1, 18, 28, 28]> input = ?","List[Optional[Tensor]] indices = [None, None, <[56, 1]>, <[56]>]"
27,"Tensor<[1, 18, 14, 14]> input = ?","List[Optional[Tensor]] indices = [None, None, <[56, 1]>, <[56]>]"
28,"Tensor<[1, 36, 14, 14]> input = ?","List[Optional[Tensor]] indices = [None, None, <[28, 1]>, <[28]>]"
29,"Tensor<[1, 18, 7, 7]> input = ?","List[Optional[Tensor]] indices = [None, None, <[56, 1]>, <[56]>]"
30,"Tensor<[1, 36, 7, 7]> input = ?","List[Optional[Tensor]] indices = [None, None, <[28, 1]>, <[28]>]"
31,"Tensor<[1, 72, 7, 7]> input = ?","List[Optional[Tensor]] indices = [None, None, <[14, 1]>, <[14]>]"
32,"Tensor<[1, 3, 480, 640]> input = ?","List[Optional[Tensor]] indices = [None, None, <[800, 1]>, <[1066]>]"
33,"Tensor<[1, 256, 25, 34]> input = ?","List[Optional[Tensor]] indices = [None, None, <[50, 1]>, <[68]>]"
34,"Tensor<[1, 256, 50, 68]> input = ?","List[Optional[Tensor]] indices = [None, None, <[100, 1]>, <[136]>]"
35,"Tensor<[1, 3, 480, 640]> input = ?","List[Optional[Tensor]] indices = [None, None, <[300, 1]>, <[300]>]"
36,"Tensor<[1, 3, 480, 640]> input = ?","List[Optional[Tensor]] indices = [None, None, <[320, 1]>, <[320]>]"
