Variation #,Input,Ord,Dim,Keepdim
0,"Tensor<[1, 512]> input = ?",number ord = 2,Optional[List[int]] dim = [-1],bool keepdim = True
1,"Tensor<[2, 512]> input = ?",number ord = 2,Optional[List[int]] dim = [-1],bool keepdim = True
2,"Tensor<[1, 512]> input = ?",number ord = 2.0,Optional[List[int]] dim = [1],bool keepdim = True
3,"Tensor<[1, 512, 38, 38]> input = ?",number ord = 2.0,Optional[List[int]] dim = [1],bool keepdim = True
4,"Tensor<[64, 4, 64, 32]> input = ?",number ord = 2.0,Optional[List[int]] dim = [-1],bool keepdim = True
5,"Tensor<[16, 8, 64, 32]> input = ?",number ord = 2.0,Optional[List[int]] dim = [-1],bool keepdim = True
6,"Tensor<[4, 16, 64, 32]> input = ?",number ord = 2.0,Optional[List[int]] dim = [-1],bool keepdim = True
7,"Tensor<[1, 32, 64, 32]> input = ?",number ord = 2.0,Optional[List[int]] dim = [-1],bool keepdim = True
8,"Tensor<[64, 3, 64, 32]> input = ?",number ord = 2.0,Optional[List[int]] dim = [-1],bool keepdim = True
9,"Tensor<[16, 6, 64, 32]> input = ?",number ord = 2.0,Optional[List[int]] dim = [-1],bool keepdim = True
10,"Tensor<[4, 12, 64, 32]> input = ?",number ord = 2.0,Optional[List[int]] dim = [-1],bool keepdim = True
11,"Tensor<[1, 24, 64, 32]> input = ?",number ord = 2.0,Optional[List[int]] dim = [-1],bool keepdim = True
