Variation #,Input,Repeats
0,"Tensor<[100, 1, 256]> input = ?","List[int] repeats = [1, 1, 1]"
1,"Tensor<[1, 1, 1]> input = ?","List[int] repeats = [1, 1, 1]"
2,"Tensor<[1, 1, 2048, 2048]> input = ?","List[int] repeats = [1, 1, 1, 1]"
3,"Tensor<[6, 2]> input = ?","List[int] repeats = [400, 1]"
4,"Tensor<[6, 2]> input = ?","List[int] repeats = [100, 1]"
5,"Tensor<[6, 2]> input = ?","List[int] repeats = [25, 1]"
6,"Tensor<[6, 2]> input = ?","List[int] repeats = [9, 1]"
7,"Tensor<[6, 2]> input = ?","List[int] repeats = [4, 1]"
8,"Tensor<[6, 2]> input = ?","List[int] repeats = [1, 1]"
9,"Tensor<[1, 1, 256]> input = ?","List[int] repeats = [1, 1, 1]"
10,"Tensor<[1, s0, 256]> input = ?","List[int] repeats = [1, 1, 1]"
11,"Tensor<[4, 2]> input = ?","List[int] repeats = [1444, 1]"
12,"Tensor<[6, 2]> input = ?","List[int] repeats = [361, 1]"
13,"Tensor<[4, 2]> input = ?","List[int] repeats = [9, 1]"
14,"Tensor<[4, 2]> input = ?","List[int] repeats = [1, 1]"
