Variation #,Size,Dtype,Device,Pin Memory
0,"List[int] size = [1, 3, 720, 1280]",Optional[int] dtype = torch.float32,Optional[Device] device = cpu,Optional[bool] pin_memory = False
1,"List[int] size = [1, 6, 1, 15]",Optional[int] dtype = torch.float32,Optional[Device] device = cpu,Optional[bool] pin_memory = False
2,"List[int] size = [1, 6, 3, 15]",Optional[int] dtype = torch.float32,Optional[Device] device = cpu,Optional[bool] pin_memory = False
3,"List[int] size = [1, 6, <s0 + 2>, 15]",Optional[int] dtype = torch.float32,Optional[Device] device = cpu,Optional[bool] pin_memory = False
4,"List[int] size = [1, 6, 18, 15]",Optional[int] dtype = torch.float32,Optional[Device] device = cpu,Optional[bool] pin_memory = False
5,"List[int] size = [1, 12, 1, 10]",Optional[int] dtype = torch.float32,Optional[Device] device = cpu,Optional[bool] pin_memory = False
6,"List[int] size = [1, 12, 3, 10]",Optional[int] dtype = torch.float32,Optional[Device] device = cpu,Optional[bool] pin_memory = False
7,"List[int] size = [1, 12, <s0 + 2>, 10]",Optional[int] dtype = torch.float32,Optional[Device] device = cpu,Optional[bool] pin_memory = False
8,"List[int] size = [1, 16, 1, 10]",Optional[int] dtype = torch.float32,Optional[Device] device = cpu,Optional[bool] pin_memory = False
9,"List[int] size = [1, 16, 3, 10]",Optional[int] dtype = torch.float32,Optional[Device] device = cpu,Optional[bool] pin_memory = False
10,"List[int] size = [1, 16, <s0 + 2>, 10]",Optional[int] dtype = torch.float32,Optional[Device] device = cpu,Optional[bool] pin_memory = False
11,"List[int] size = [1, 8, 1, 10]",Optional[int] dtype = torch.float32,Optional[Device] device = cpu,Optional[bool] pin_memory = False
12,"List[int] size = [1, 8, 3, 10]",Optional[int] dtype = torch.float32,Optional[Device] device = cpu,Optional[bool] pin_memory = False
13,"List[int] size = [1, 8, <s0 + 2>, 10]",Optional[int] dtype = torch.float32,Optional[Device] device = cpu,Optional[bool] pin_memory = False
